Position,Driver,Nationality,Car,Points
1,Verstappen,NED,Red Bull Racing Honda,182
2,Hamilton,GBR,Mercedes,150
3,Perez,MEX,Red Bull Racing Honda,104
4,Norris,GBR,McLaren Mercedes,101
5,Bottas,FIN,Mercedes,92
6,Leclerc,MON,Ferrari,62
7,Sainz,ESP,Ferrari,60
8,Ricciardo,AUS,McLaren Mercedes,40
9,Gasly,FRA,AlphaTauri Honda,39
10,Vettel,GER,Aston Martin Mercedes,30
11,Alonso,ESP,Alpine Renault,20
12,Stroll,CAN,Aston Martin Mercedes,14
13,Ocon,FRA,Alpine Renault,12
14,Tsunoda,JPN,AlphaTauri Honda,9
15,Räikkönen,FIN,Alfa Romeo Racing Ferrari,1
16,Giovinazzi,ITA,Alfa Romeo Racing Ferrari,1
17,Russell,GBR,Williams Mercedes,0
18,Schumacher,GER,Haas Ferrari,0
19,Mazepin,RAF,Haas Ferrari,0
20,Latifi,CAN,Williams Mercedes,0
